epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,274.662,0.15989,5.49484,0.50641,0.14998,0.92444,0.99303,1,0.995,0.98854,0.59564,0.6,0.52395,0.13072,0.2654,4.69461,0.50273,0.24882,0.54989,0.0092476,0.0092476,0.0092476
40,281.565,0.16511,5.38669,0.50313,0.15446,0.91473,0.99892,1,0.995,0.96945,0.64945,0.65,0.49602,0.109,0.29118,4.66849,0.49461,0.23912,0.58952,0.0092278,0.0092278,0.0092278
41,288.458,0.161,5.47592,0.50164,0.15615,0.93474,0.99903,1,0.995,0.98577,0.51644,0.51667,0.31159,0.06906,0.27368,4.75283,0.49218,0.23594,0.56764,0.009208,0.009208,0.009208
42,295.357,0.15428,5.31087,0.50385,0.15208,0.91306,0.9984,1,0.995,0.99209,0.75392,0.76596,0.66156,0.13522,0.23724,4.60394,0.48794,0.20255,0.54293,0.0091882,0.0091882,0.0091882
43,302.285,0.15266,5.16257,0.49431,0.15145,0.91823,0.99872,1,0.995,0.95702,0.6996,0.7,0.6129,0.15144,0.25191,4.53838,0.48991,0.31528,0.5493,0.0091684,0.0091684,0.0091684
44,309.288,0.14942,5.19491,0.49248,0.14973,0.92365,0.99834,1,0.995,0.9804,0.59989,0.6,0.43397,0.10299,0.24681,4.64067,0.48942,0.21564,0.53062,0.0091486,0.0091486,0.0091486
45,316.207,0.15043,5.16963,0.49437,0.1523,0.91089,0.9991,1,0.995,0.98718,0.59966,0.6,0.45366,0.11306,0.24041,4.93641,0.49058,0.20372,0.52191,0.0091288,0.0091288,0.0091288
46,323.116,0.16869,4.87776,0.49649,0.15869,0.92827,0.99896,1,0.995,0.99111,0.81582,0.81667,0.78322,0.25634,0.25837,4.07686,0.48811,0.21026,0.56261,0.009109,0.009109,0.009109
47,330.294,0.14233,4.86332,0.4925,0.14679,0.91137,0.99896,1,0.995,0.97632,0.79916,0.8,0.7287,0.1668,0.26011,4.31697,0.48782,0.21322,0.57641,0.0090892,0.0090892,0.0090892
48,337.222,0.14266,5.22543,0.48793,0.14704,0.91938,0.999,1,0.995,0.968,0.66607,0.66667,0.52721,0.13145,0.25006,4.40901,0.487,0.18277,0.54637,0.0090694,0.0090694,0.0090694
49,344.134,0.14928,5.02033,0.48707,0.14467,0.91738,0.999,1,0.995,0.96842,0.71615,0.71667,0.59952,0.17557,0.25666,4.20647,0.49069,0.19954,0.56816,0.0090496,0.0090496,0.0090496
50,351.066,0.15216,5.26544,0.49491,0.14212,0.91072,0.99892,1,0.995,0.97783,0.6493,0.65,0.51259,0.17643,0.26494,4.31913,0.49029,0.20162,0.56735,0.0090298,0.0090298,0.0090298
51,357.95,0.15397,5.04644,0.49172,0.14314,0.92195,0.99889,1,0.995,0.98505,0.81576,0.81667,0.71095,0.22556,0.27978,3.93507,0.4864,0.21891,0.58609,0.00901,0.00901,0.00901
52,364.904,0.15348,4.93879,0.48656,0.14732,0.91573,0.99882,1,0.995,0.98783,0.69918,0.7,0.61411,0.15828,0.2674,4.27746,0.47918,0.18408,0.55448,0.0089902,0.0089902,0.0089902
53,371.818,0.14912,5.00392,0.49166,0.14302,0.91778,0.99906,1,0.995,0.98874,0.68295,0.68333,0.59056,0.17338,0.25046,4.43481,0.48153,0.19675,0.52645,0.0089704,0.0089704,0.0089704
54,378.747,0.14911,4.82533,0.48806,0.14157,0.91418,0.99877,1,0.995,0.97656,0.63255,0.63333,0.4918,0.18437,0.24808,4.57799,0.47838,0.22493,0.55478,0.0089506,0.0089506,0.0089506
55,385.622,0.15718,4.91427,0.49139,0.15019,0.91099,0.9983,1,0.995,0.97363,0.84892,0.85,0.8095,0.27033,0.30038,4.07695,0.47959,0.26504,0.61937,0.0089308,0.0089308,0.0089308
56,392.513,0.15425,4.71756,0.49019,0.15037,0.91965,0.99611,1,0.995,0.95068,0.83577,0.8482,0.83201,0.25841,0.30004,4.08987,0.47493,0.30124,0.60444,0.008911,0.008911,0.008911
57,399.405,0.14645,4.74196,0.48869,0.1416,0.90615,0.99856,1,0.995,0.95317,0.71562,0.71667,0.59563,0.22792,0.2809,3.93816,0.47677,0.27084,0.61291,0.0088912,0.0088912,0.0088912
58,406.31,0.14454,4.89352,0.48276,0.1372,0.91564,0.99873,1,0.995,0.98123,0.81563,0.81667,0.7615,0.2236,0.27331,4.11006,0.48025,0.26095,0.58947,0.0088714,0.0088714,0.0088714
59,413.205,0.14987,4.67673,0.48548,0.14884,0.93688,0.99905,1,0.995,0.98634,0.86583,0.86667,0.8722,0.28707,0.27355,3.87156,0.47515,0.22368,0.57377,0.0088516,0.0088516,0.0088516
60,420.44,0.14477,4.663,0.48879,0.13977,0.90225,0.99822,1,0.995,0.9822,0.81518,0.81667,0.78728,0.23349,0.26742,4.13163,0.47389,0.20963,0.56114,0.0088318,0.0088318,0.0088318
61,427.361,0.15225,4.53496,0.48971,0.1453,0.9097,0.99429,1,0.995,0.98009,0.81201,0.81667,0.78512,0.26557,0.25659,3.95343,0.47393,0.21928,0.55935,0.008812,0.008812,0.008812
62,434.314,0.15317,4.61822,0.49191,0.15061,0.90647,0.99902,1,0.995,0.97043,0.83262,0.83333,0.73975,0.21227,0.28125,3.87417,0.4787,0.21508,0.5852,0.0087922,0.0087922,0.0087922
63,441.211,0.14309,4.30329,0.48018,0.14236,0.91502,0.99866,1,0.995,0.97144,0.74893,0.75,0.61037,0.17903,0.26291,4.25538,0.47437,0.20215,0.56487,0.0087724,0.0087724,0.0087724
64,448.137,0.14669,4.56781,0.48512,0.14043,0.90961,0.99903,1,0.995,0.98496,0.71632,0.71667,0.58276,0.15639,0.26548,4.22293,0.47362,0.18768,0.56733,0.0087526,0.0087526,0.0087526
65,455.04,0.14734,4.50292,0.48213,0.14351,0.92683,0.99909,1,0.995,0.98612,0.71602,0.71667,0.57385,0.1881,0.24727,4.1791,0.47266,0.197,0.56459,0.0087328,0.0087328,0.0087328
66,461.968,0.13606,4.45085,0.48195,0.13455,0.89621,0.99895,1,0.995,0.98175,0.81581,0.81667,0.778,0.1859,0.25503,4.3061,0.47097,0.236,0.5772,0.008713,0.008713,0.008713
67,468.845,0.13765,4.38115,0.48257,0.13459,0.90821,0.99908,1,0.995,0.98177,0.86585,0.86667,0.82666,0.30452,0.23865,3.71869,0.46981,0.21955,0.55527,0.0086932,0.0086932,0.0086932
68,476.101,0.13623,4.36751,0.48086,0.12779,0.91296,0.9991,1,0.995,0.9885,0.81591,0.81667,0.74019,0.22752,0.23634,3.96176,0.46926,0.20965,0.54867,0.0086734,0.0086734,0.0086734
69,482.979,0.14017,4.50064,0.48032,0.12786,0.90605,0.99902,1,0.995,0.97945,0.84925,0.85,0.80165,0.23919,0.2445,3.6068,0.47067,0.21498,0.54131,0.0086536,0.0086536,0.0086536
70,489.898,0.13739,4.51405,0.47503,0.13201,0.90563,0.99909,1,0.995,0.98198,0.84922,0.85,0.77686,0.25896,0.27412,3.88923,0.47017,0.19125,0.57658,0.0086338,0.0086338,0.0086338
71,496.768,0.13062,4.49462,0.48224,0.12599,0.90787,0.99582,1,0.995,0.98547,0.7634,0.76667,0.69207,0.24221,0.26181,3.76163,0.46677,0.2363,0.58183,0.008614,0.008614,0.008614
72,503.692,0.13778,4.38677,0.4784,0.13515,0.91506,0.99909,1,0.995,0.97567,0.88253,0.88333,0.84948,0.30216,0.24491,3.63836,0.46987,0.21647,0.55875,0.0085942,0.0085942,0.0085942
73,510.567,0.13274,4.21592,0.47707,0.13588,0.90142,0.99907,1,0.995,0.96274,0.89917,0.9,0.8738,0.26544,0.23135,3.66477,0.46678,0.21235,0.54972,0.0085744,0.0085744,0.0085744
74,517.448,0.14173,4.31094,0.47607,0.13552,0.91969,0.99907,1,0.995,0.98027,0.91581,0.91667,0.88574,0.35703,0.23141,3.45021,0.46876,0.20604,0.55247,0.0085546,0.0085546,0.0085546
