epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,261.944,0.1474,4.86846,0.48801,0.14265,0.90113,0.99912,1,0.995,0.99293,0.8326,0.83333,0.85184,0.29119,0.23684,3.90714,0.47454,0.24946,0.52142,0.008713,0.008713,0.008713
67,266.004,0.14648,4.77333,0.48694,0.14489,0.91298,0.99911,1,0.995,0.99056,0.84924,0.85,0.82796,0.2898,0.22822,3.69075,0.47405,0.26451,0.51043,0.0086932,0.0086932,0.0086932
68,269.929,0.14999,4.83023,0.48425,0.14676,0.92011,0.99908,1,0.995,0.98374,0.83257,0.83333,0.82976,0.28143,0.24571,3.99813,0.47311,0.21649,0.52292,0.0086734,0.0086734,0.0086734
69,273.735,0.14421,4.85573,0.48405,0.1465,0.91345,0.99904,1,0.995,0.99278,0.89913,0.9,0.88061,0.3266,0.24018,3.68666,0.47179,0.22322,0.53213,0.0086536,0.0086536,0.0086536
70,277.949,0.14225,4.81112,0.47939,0.14547,0.91619,0.99898,1,0.995,0.99303,0.83248,0.83333,0.75012,0.22101,0.21615,3.92159,0.47047,0.2304,0.51112,0.0086338,0.0086338,0.0086338
71,281.813,0.13166,4.88833,0.48576,0.13886,0.91159,0.99912,1,0.995,0.99171,0.84925,0.85,0.84523,0.26621,0.21573,3.93926,0.46908,0.22503,0.50598,0.008614,0.008614,0.008614
72,285.679,0.14377,4.77195,0.48212,0.14352,0.91546,0.99892,1,0.995,0.98725,0.94897,0.95,0.94038,0.34157,0.19509,3.35555,0.46877,0.21121,0.48899,0.0085942,0.0085942,0.0085942
73,289.649,0.14511,4.65671,0.48031,0.14828,0.91184,0.99907,1,0.995,0.97909,0.96576,0.96667,0.96125,0.34169,0.25119,3.45519,0.46793,0.22414,0.53465,0.0085744,0.0085744,0.0085744
74,293.523,0.15073,4.58592,0.47923,0.14767,0.91878,0.99877,1,0.995,0.98906,0.80575,0.82966,0.76761,0.25596,0.21548,3.67522,0.4707,0.19635,0.51237,0.0085546,0.0085546,0.0085546
75,297.349,0.1429,4.73123,0.4766,0.14333,0.91516,0.99885,1,0.995,0.98969,0.84902,0.85,0.82456,0.25168,0.21819,3.66521,0.46961,0.20139,0.5194,0.0085348,0.0085348,0.0085348
76,301.217,0.13254,4.72025,0.47679,0.14164,0.90445,0.99907,1,0.995,0.99025,0.94912,0.95,0.93517,0.3057,0.22423,3.52464,0.46684,0.20712,0.51701,0.008515,0.008515,0.008515
77,305.125,0.13498,4.5594,0.47444,0.13956,0.90164,0.99904,1,0.995,0.99242,0.83252,0.83333,0.77564,0.23232,0.22109,3.8585,0.46342,0.2088,0.50731,0.0084952,0.0084952,0.0084952
78,308.99,0.14161,4.64475,0.47993,0.13976,0.91212,0.99901,1,0.995,0.99197,0.86581,0.86667,0.83164,0.26764,0.20613,3.72893,0.46586,0.20553,0.49306,0.0084754,0.0084754,0.0084754
79,312.83,0.13479,4.46795,0.47872,0.13155,0.8904,0.99894,1,0.995,0.98949,0.93235,0.93333,0.94019,0.34802,0.2048,3.43597,0.46666,0.20135,0.50462,0.0084556,0.0084556,0.0084556
80,316.85,0.14143,4.44208,0.48026,0.1354,0.90188,0.99909,1,0.995,0.99264,0.83306,0.83333,0.82549,0.25637,0.20157,3.69367,0.46251,0.2146,0.49065,0.0084358,0.0084358,0.0084358
81,320.67,0.13608,4.42116,0.47889,0.13676,0.90042,0.99907,1,0.995,0.99419,0.94912,0.95,0.94029,0.35713,0.21241,3.20927,0.4664,0.21895,0.4947,0.008416,0.008416,0.008416
82,324.644,0.13275,4.53671,0.47324,0.13356,0.89481,0.99898,1,0.995,0.99137,0.91574,0.91667,0.8904,0.28719,0.20453,3.50233,0.46117,0.20064,0.49246,0.0083962,0.0083962,0.0083962
83,328.74,0.14112,4.49655,0.47665,0.13736,0.91294,0.99905,1,0.995,0.98983,0.91579,0.91667,0.88743,0.33702,0.22328,3.42476,0.46127,0.18449,0.51932,0.0083764,0.0083764,0.0083764
84,332.653,0.13215,4.32464,0.47169,0.13938,0.91034,0.99913,1,0.995,0.9912,0.93252,0.93333,0.9089,0.30031,0.23024,3.64118,0.46282,0.19132,0.52371,0.0083566,0.0083566,0.0083566
85,336.491,0.13309,4.41219,0.47241,0.13888,0.91337,0.99906,1,0.995,0.99259,0.98241,0.98333,0.97264,0.32737,0.2004,3.31873,0.46191,0.19903,0.49125,0.0083368,0.0083368,0.0083368
86,340.433,0.13625,4.41018,0.47886,0.13741,0.89874,0.99909,1,0.995,0.995,0.98244,0.98333,0.9859,0.34973,0.19181,3.19768,0.45849,0.20215,0.4788,0.008317,0.008317,0.008317
87,344.327,0.14004,4.30961,0.47089,0.13913,0.91355,0.99909,1,0.995,0.99291,0.98244,0.98333,0.97445,0.37715,0.18956,3.25926,0.45639,0.21993,0.48162,0.0082972,0.0082972,0.0082972
88,348.307,0.13567,4.35582,0.47675,0.13741,0.90472,0.99897,1,0.995,0.995,0.96567,0.96667,0.95617,0.32892,0.219,3.40754,0.45869,0.20953,0.5072,0.0082774,0.0082774,0.0082774
89,352.177,0.12677,4.28637,0.47358,0.12834,0.89718,0.99899,1,0.995,0.995,0.94904,0.95,0.95304,0.32938,0.21089,3.42614,0.45851,0.19904,0.51224,0.0082576,0.0082576,0.0082576
90,356.065,0.13066,4.32821,0.4696,0.12816,0.90889,0.9991,1,0.995,0.99366,0.93249,0.93333,0.91233,0.26267,0.21331,3.57343,0.45485,0.20187,0.51328,0.0082378,0.0082378,0.0082378
91,359.887,0.13136,4.36929,0.47534,0.13617,0.90736,0.99905,1,0.995,0.99132,0.96575,0.96667,0.971,0.37322,0.23797,3.32841,0.45129,0.20978,0.55241,0.008218,0.008218,0.008218
92,363.755,0.13682,4.35842,0.47375,0.13617,0.89939,0.99916,1,0.995,0.9917,0.98248,0.98333,0.99234,0.37323,0.2332,3.30492,0.45577,0.22659,0.53505,0.0081982,0.0081982,0.0081982
93,367.635,0.12392,4.20397,0.46403,0.12757,0.90137,0.9991,1,0.995,0.99167,0.9658,0.96667,0.95631,0.36081,0.22553,3.329,0.45408,0.19613,0.53048,0.0081784,0.0081784,0.0081784
94,371.513,0.1292,4.27,0.46678,0.1316,0.89995,0.99909,1,0.995,0.98051,0.98244,0.98333,0.98092,0.37563,0.27249,3.29553,0.45223,0.22613,0.57563,0.0081586,0.0081586,0.0081586
95,375.362,0.13145,4.35409,0.46605,0.13145,0.89592,0.99909,1,0.995,0.99186,0.98243,0.98333,0.9859,0.37926,0.20084,3.34225,0.45479,0.20316,0.50267,0.0081388,0.0081388,0.0081388
96,379.576,0.13276,4.14668,0.46717,0.13482,0.90615,0.99906,1,0.995,0.99015,0.89915,0.9,0.85654,0.3014,0.2546,3.43481,0.45005,0.21785,0.55444,0.008119,0.008119,0.008119
97,383.408,0.12994,4.27481,0.46988,0.13085,0.90021,0.99912,1,0.995,0.98886,0.93251,0.93333,0.90861,0.31471,0.25809,3.5105,0.45155,0.21872,0.55857,0.0080992,0.0080992,0.0080992
98,387.313,0.12647,4.32438,0.46958,0.12919,0.89962,0.99911,1,0.995,0.98254,0.91585,0.91667,0.91033,0.34461,0.23122,3.49175,0.45407,0.21999,0.53832,0.0080794,0.0080794,0.0080794
99,391.191,0.13904,4.33303,0.46898,0.13582,0.9089,0.99912,1,0.995,0.99035,0.96581,0.96667,0.97097,0.36404,0.22955,3.19735,0.45496,0.22298,0.5316,0.0080596,0.0080596,0.0080596
100,395.052,0.13124,4.20919,0.46391,0.13271,0.91477,0.99912,1,0.995,0.99195,0.98247,0.98333,0.97991,0.35254,0.25647,3.18828,0.45314,0.18965,0.54931,0.0080398,0.0080398,0.0080398
101,398.947,0.13201,4.1844,0.46126,0.13314,0.91564,0.99901,1,0.995,0.98788,0.98236,0.98333,0.9839,0.37479,0.23721,3.16284,0.44859,0.18317,0.54876,0.00802,0.00802,0.00802
102,402.868,0.11978,4.36136,0.4599,0.12465,0.89695,0.99891,1,0.995,0.99012,0.89902,0.9,0.84953,0.2817,0.2045,3.46695,0.44775,0.19729,0.49891,0.0080002,0.0080002,0.0080002
103,406.714,0.12749,4.2706,0.46593,0.12769,0.89209,0.99893,1,0.995,0.98668,0.86596,0.86667,0.82722,0.29481,0.21528,3.40802,0.44973,0.20245,0.50897,0.0079804,0.0079804,0.0079804
104,410.585,0.12469,4.20722,0.46627,0.12697,0.89717,0.999,1,0.995,0.98805,0.9657,0.96667,0.94758,0.32123,0.21976,3.26582,0.44802,0.20192,0.52026,0.0079606,0.0079606,0.0079606
105,414.445,0.12879,4.13136,0.4591,0.12782,0.90946,0.99912,1,0.995,0.9895,0.89919,0.9,0.87053,0.28372,0.2297,3.43269,0.45122,0.1862,0.5348,0.0079408,0.0079408,0.0079408
106,418.292,0.12746,4.05168,0.46081,0.12986,0.90086,0.99914,1,0.995,0.98923,0.91586,0.91667,0.89973,0.35701,0.22126,3.10535,0.4518,0.169,0.52255,0.007921,0.007921,0.007921
107,422.111,0.126,4.22265,0.45853,0.12462,0.92541,0.99907,1,0.995,0.99001,0.84921,0.85,0.85145,0.31835,0.21826,3.36851,0.45303,0.17535,0.52302,0.0079012,0.0079012,0.0079012
108,425.954,0.12399,4.05096,0.45855,0.12656,0.90018,0.9991,1,0.995,0.9856,0.94914,0.95,0.9357,0.34711,0.22212,3.31458,0.45476,0.18371,0.52252,0.0078814,0.0078814,0.0078814
109,429.798,0.12409,4.17583,0.46416,0.12209,0.89814,0.99898,1,0.995,0.9867,0.93238,0.93333,0.93114,0.33557,0.21546,3.382,0.45076,0.18172,0.52065,0.0078616,0.0078616,0.0078616
110,433.882,0.12262,4.1063,0.46308,0.11877,0.90574,0.99734,1,0.995,0.98163,0.94747,0.95,0.93518,0.31578,0.19625,3.32759,0.45175,0.18845,0.49496,0.0078418,0.0078418,0.0078418
111,437.736,0.12831,4.22509,0.46483,0.12488,0.90172,0.99687,1,0.995,0.98191,0.96364,0.96667,0.96357,0.38091,0.20812,3.14524,0.45259,0.19995,0.5102,0.007822,0.007822,0.007822
112,441.604,0.12326,4.06434,0.46265,0.12165,0.90526,0.99906,1,0.995,0.97933,0.9158,0.91667,0.92711,0.3455,0.2092,3.30899,0.45712,0.20493,0.50351,0.0078022,0.0078022,0.0078022
113,445.432,0.12772,3.96597,0.46214,0.12459,0.90992,0.99912,1,0.995,0.98984,0.91586,0.91667,0.88236,0.38676,0.21161,3.03465,0.45681,0.18796,0.50541,0.0077824,0.0077824,0.0077824
114,449.302,0.11891,4.14096,0.46705,0.12008,0.88955,0.99906,1,0.995,0.99441,0.93245,0.93333,0.92358,0.36128,0.1882,3.29613,0.45548,0.17949,0.49111,0.0077626,0.0077626,0.0077626
115,453.187,0.12446,4.09678,0.46462,0.12608,0.88818,0.99911,1,0.995,0.99409,0.94915,0.95,0.94959,0.36605,0.18546,3.21929,0.4587,0.17884,0.49203,0.0077428,0.0077428,0.0077428
116,457.081,0.11415,4.23767,0.45461,0.11827,0.89508,0.99903,1,0.995,0.99429,0.93243,0.93333,0.91263,0.36686,0.21106,3.40638,0.45629,0.22879,0.50954,0.007723,0.007723,0.007723
117,460.986,0.12616,3.98282,0.46589,0.12895,0.89967,0.99911,1,0.995,0.99053,0.9325,0.93333,0.89519,0.34726,0.21349,3.34585,0.458,0.22373,0.49825,0.0077032,0.0077032,0.0077032
118,464.878,0.1286,4.02393,0.45472,0.13269,0.90498,0.99911,1,0.995,0.99278,0.98246,0.98333,0.98675,0.37459,0.20261,3.23951,0.46202,0.19732,0.49504,0.0076834,0.0076834,0.0076834
119,468.736,0.12681,3.94179,0.45859,0.12635,0.89813,0.99909,1,0.995,0.98897,0.94913,0.95,0.91855,0.36609,0.22775,3.0936,0.46335,0.22757,0.51705,0.0076636,0.0076636,0.0076636
120,472.592,0.13596,3.99058,0.45766,0.13465,0.89729,0.99899,1,0.995,0.99255,0.99899,1,0.995,0.40402,0.24077,3.04184,0.46156,0.21056,0.53512,0.0076438,0.0076438,0.0076438
121,476.579,0.12563,3.78537,0.46288,0.1262,0.88771,0.99899,1,0.995,0.99101,0.94904,0.95,0.92153,0.35602,0.23586,3.15544,0.45658,0.22682,0.53618,0.007624,0.007624,0.007624
122,480.516,0.12775,3.89408,0.4549,0.12317,0.91307,0.9991,1,0.995,0.9912,0.94914,0.95,0.93201,0.33536,0.21927,3.30047,0.45553,0.24201,0.51875,0.0076042,0.0076042,0.0076042
123,484.594,0.12798,3.89222,0.45433,0.12438,0.90501,0.99912,1,0.995,0.99059,0.98247,0.98333,0.98032,0.38001,0.22586,3.10487,0.45256,0.22962,0.52166,0.0075844,0.0075844,0.0075844
124,488.475,0.11538,3.95973,0.44988,0.12268,0.89497,0.99909,1,0.995,0.99195,0.96579,0.96667,0.95107,0.39362,0.20744,3.23952,0.45211,0.21265,0.49928,0.0075646,0.0075646,0.0075646
