epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,220.784,0.17184,6.22807,0.50906,0.15819,0.93659,0.99907,1,0.995,0.98902,0.37038,0.36667,0.30126,0.0756,0.26936,5.60758,0.50191,0.22103,0.56145,0.009208,0.009208,0.009208
42,226.322,0.1619,6.11764,0.50927,0.1532,0.91233,0.99887,1,0.995,0.99431,0.38314,0.38333,0.30684,0.09442,0.23136,5.60928,0.4943,0.22134,0.51299,0.0091882,0.0091882,0.0091882
43,231.812,0.16042,6.10146,0.50158,0.15436,0.91932,0.99755,1,0.995,0.99413,0.333,0.33333,0.26421,0.05403,0.2215,5.69554,0.49449,0.23776,0.49825,0.0091684,0.0091684,0.0091684
44,237.105,0.17569,6.19063,0.49702,0.1655,0.9415,0.99901,1,0.995,0.99243,0.39976,0.4,0.27818,0.08559,0.24678,5.5323,0.49547,0.21531,0.52743,0.0091486,0.0091486,0.0091486
45,242.354,0.16113,6.20683,0.50067,0.1609,0.92391,0.999,1,0.995,0.98191,0.19989,0.2,0.10164,0.01435,0.3085,5.78237,0.49581,0.25122,0.59648,0.0091288,0.0091288,0.0091288
46,247.678,0.15851,6.08194,0.50093,0.15671,0.92521,0.99917,1,0.995,0.98882,0.28685,0.28333,0.24505,0.06961,0.29202,5.90026,0.49758,0.20577,0.59308,0.009109,0.009109,0.009109
47,252.95,0.15273,6.02929,0.5016,0.14882,0.92038,0.99894,1,0.995,0.98972,0.39335,0.39985,0.34564,0.12654,0.2573,5.4917,0.4979,0.2112,0.55944,0.0090892,0.0090892,0.0090892
48,258.481,0.15772,5.93888,0.49485,0.14628,0.92973,0.99877,1,0.995,0.99429,0.29988,0.3,0.1996,0.0589,0.23799,5.56508,0.49392,0.19403,0.5421,0.0090694,0.0090694,0.0090694
49,263.761,0.15635,5.98838,0.49002,0.15081,0.92383,0.99912,1,0.995,0.98978,0.41658,0.41667,0.29921,0.06922,0.24388,5.42646,0.49753,0.21092,0.55229,0.0090496,0.0090496,0.0090496
50,269.056,0.15263,6.03257,0.49813,0.14927,0.91203,0.99896,1,0.995,0.995,0.38293,0.38333,0.25541,0.05134,0.24778,5.28719,0.49993,0.20335,0.54416,0.0090298,0.0090298,0.0090298
51,274.364,0.16103,5.91438,0.49428,0.15522,0.92355,0.99854,1,0.995,0.98723,0.3661,0.36667,0.24389,0.08173,0.259,5.43565,0.49457,0.20174,0.56651,0.00901,0.00901,0.00901
52,279.672,0.1472,5.81606,0.49211,0.14616,0.90598,0.999,1,0.995,0.9889,0.34965,0.35,0.20506,0.03211,0.25962,5.41002,0.49305,0.22755,0.56342,0.0089902,0.0089902,0.0089902
53,284.952,0.14783,5.74767,0.49858,0.14326,0.91535,0.99887,1,0.995,0.99082,0.48278,0.48333,0.408,0.11498,0.2424,5.11191,0.4925,0.23039,0.54409,0.0089704,0.0089704,0.0089704
54,290.223,0.13986,5.72257,0.49302,0.13755,0.90832,0.99912,1,0.995,0.97309,0.46632,0.46667,0.41163,0.15906,0.23975,5.13573,0.49349,0.18701,0.54522,0.0089506,0.0089506,0.0089506
55,295.731,0.15628,5.68821,0.49647,0.14322,0.91016,0.999,1,0.995,0.99144,0.48285,0.48333,0.4601,0.17836,0.21652,5.02372,0.49388,0.19876,0.51886,0.0089308,0.0089308,0.0089308
56,301.234,0.14645,5.60056,0.49648,0.14638,0.91844,0.99829,1,0.995,0.99159,0.44975,0.45,0.44222,0.14153,0.22329,5.0261,0.48731,0.19625,0.53726,0.008911,0.008911,0.008911
57,306.504,0.14645,5.68383,0.49317,0.14294,0.90492,0.99909,1,0.995,0.98987,0.4829,0.48333,0.42777,0.10766,0.25904,5.16044,0.49036,0.20328,0.57428,0.0088912,0.0088912,0.0088912
58,311.832,0.14489,5.76741,0.48692,0.14219,0.9149,0.99829,1,0.995,0.99221,0.48256,0.48333,0.43187,0.10779,0.23791,5.12504,0.48945,0.20946,0.54487,0.0088714,0.0088714,0.0088714
59,317.14,0.15422,5.4736,0.48881,0.14772,0.92764,0.99705,1,0.995,0.98814,0.56643,0.56667,0.51274,0.09478,0.24982,5.13824,0.48642,0.24637,0.56081,0.0088516,0.0088516,0.0088516
60,322.481,0.14748,5.69932,0.49133,0.14712,0.90507,0.99738,1,0.995,0.98291,0.41557,0.41667,0.27121,0.09353,0.24858,5.17354,0.48451,0.23703,0.55133,0.0088318,0.0088318,0.0088318
61,327.764,0.14925,5.50297,0.49328,0.14393,0.90676,0.99541,0.98333,0.99452,0.98911,0.40663,0.4,0.24827,0.08707,0.25883,5.49079,0.4837,0.26331,0.56751,0.008812,0.008812,0.008812
62,333.042,0.15182,5.25985,0.49338,0.14795,0.90372,0.99821,1,0.995,0.99274,0.44923,0.45,0.34093,0.07344,0.24535,5.12758,0.48655,0.19364,0.55648,0.0087922,0.0087922,0.0087922
63,338.312,0.15403,5.48898,0.48136,0.14231,0.92546,0.99903,1,0.995,0.99262,0.4666,0.46667,0.47196,0.13084,0.23971,5.09008,0.48222,0.20677,0.53869,0.0087724,0.0087724,0.0087724
64,343.59,0.14176,5.54543,0.48799,0.1365,0.90825,0.99913,1,0.995,0.98459,0.26657,0.26667,0.19978,0.04266,0.23838,5.60628,0.48098,0.1959,0.54678,0.0087526,0.0087526,0.0087526
65,348.86,0.14224,5.37011,0.48375,0.13887,0.92388,0.99911,1,0.995,0.98285,0.45853,0.46576,0.33085,0.10276,0.24166,5.21272,0.47836,0.19549,0.55876,0.0087328,0.0087328,0.0087328
66,354.168,0.1456,5.50336,0.4846,0.13992,0.90655,0.99909,1,0.995,0.98864,0.47508,0.46667,0.33415,0.08718,0.2477,5.24802,0.47647,0.19034,0.55522,0.008713,0.008713,0.008713
67,359.47,0.13698,5.42785,0.48504,0.13763,0.90777,0.99978,1,0.995,0.98092,0.52537,0.51667,0.449,0.1358,0.27594,5.09966,0.47862,0.21272,0.59239,0.0086932,0.0086932,0.0086932
68,364.764,0.14715,5.35781,0.48308,0.14325,0.92008,0.99902,1,0.995,0.9908,0.51624,0.51667,0.50772,0.14687,0.26066,4.89649,0.48021,0.18523,0.56989,0.0086734,0.0086734,0.0086734
69,370.065,0.14952,5.345,0.47956,0.13187,0.91438,0.99912,1,0.995,0.99315,0.58294,0.58333,0.58019,0.1876,0.25682,4.76628,0.47664,0.19385,0.57184,0.0086536,0.0086536,0.0086536
70,375.61,0.14098,5.44618,0.47611,0.13665,0.91126,0.99909,1,0.995,0.99278,0.64986,0.65,0.63387,0.18033,0.27337,4.77835,0.47439,0.20315,0.60539,0.0086338,0.0086338,0.0086338
71,380.904,0.13441,5.30018,0.48083,0.13189,0.90942,0.99908,1,0.995,0.97943,0.49972,0.5,0.48988,0.13514,0.31162,5.10362,0.47389,0.20635,0.63126,0.008614,0.008614,0.008614
72,386.181,0.14124,5.23282,0.48086,0.1345,0.91377,0.99914,1,0.995,0.98393,0.64988,0.65,0.65625,0.19057,0.31819,4.61753,0.46939,0.21278,0.64151,0.0085942,0.0085942,0.0085942
73,391.635,0.1478,5.22637,0.47939,0.13854,0.90782,0.99914,1,0.995,0.91411,0.65691,0.65,0.57482,0.15424,0.4262,4.58971,0.47444,0.22559,0.79164,0.0085744,0.0085744,0.0085744
74,396.988,0.13951,5.22748,0.47617,0.13423,0.9188,0.9989,1,0.995,0.982,0.49986,0.5,0.41145,0.12095,0.26505,4.85026,0.47177,0.19808,0.60006,0.0085546,0.0085546,0.0085546
75,402.271,0.14072,5.35213,0.47177,0.13264,0.91128,0.99908,1,0.995,0.95709,0.49968,0.5,0.34949,0.07652,0.28711,5.03204,0.4758,0.23887,0.60719,0.0085348,0.0085348,0.0085348
76,407.61,0.1493,5.31918,0.4722,0.1459,0.91847,0.99908,1,0.995,0.98917,0.58287,0.58333,0.48966,0.14899,0.25625,4.85619,0.47267,0.17924,0.56624,0.008515,0.008515,0.008515
