epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,249.942,0.13855,4.25427,0.46526,0.14333,0.90191,0.99891,1,0.995,0.98261,0.61628,0.61667,0.49114,0.15923,0.24626,4.32924,0.45025,0.34374,0.56179,0.0081982,0.0081982,0.0081982
93,252.621,0.1367,4.12585,0.46042,0.13869,0.90749,0.99911,1,0.995,0.97947,0.78283,0.78333,0.72886,0.24502,0.27668,4.05224,0.45172,0.38397,0.6109,0.0081784,0.0081784,0.0081784
94,255.568,0.13508,4.15447,0.46125,0.13947,0.90576,0.99908,1,0.995,0.9839,0.76596,0.76667,0.68067,0.24759,0.28097,3.96735,0.45175,0.37739,0.58546,0.0081586,0.0081586,0.0081586
95,258.308,0.13788,4.18885,0.46126,0.14176,0.89773,0.99912,1,0.995,0.98901,0.71602,0.71667,0.58964,0.19153,0.27115,3.97073,0.45232,0.46336,0.57478,0.0081388,0.0081388,0.0081388
96,260.965,0.13698,4.02416,0.46367,0.14011,0.90534,0.99911,1,0.995,0.98802,0.71618,0.71667,0.61772,0.18461,0.26946,4.33674,0.45271,0.38163,0.57975,0.008119,0.008119,0.008119
97,263.68,0.13403,3.99035,0.46654,0.14265,0.90458,0.9983,1,0.995,0.99434,0.93174,0.93333,0.90159,0.33104,0.23669,3.45151,0.44906,0.29223,0.55237,0.0080992,0.0080992,0.0080992
98,266.378,0.13645,3.8947,0.46453,0.14591,0.90319,0.99911,1,0.995,0.99072,0.84922,0.85,0.82073,0.30034,0.24883,3.73389,0.45117,0.33773,0.56441,0.0080794,0.0080794,0.0080794
99,269.033,0.13975,3.83527,0.46567,0.14835,0.90979,0.99907,1,0.995,0.98963,0.83254,0.83333,0.77416,0.27495,0.25944,3.55838,0.45273,0.33503,0.57485,0.0080596,0.0080596,0.0080596
100,271.699,0.13791,3.84487,0.45851,0.14475,0.91884,0.99906,1,0.995,0.99103,0.89915,0.9,0.88507,0.33906,0.24289,3.57323,0.44978,0.32332,0.55713,0.0080398,0.0080398,0.0080398
101,274.384,0.14188,3.90776,0.45953,0.14333,0.9221,0.99809,1,0.995,0.99223,0.89828,0.9,0.87279,0.36803,0.25416,3.35065,0.44451,0.37302,0.57313,0.00802,0.00802,0.00802
102,277.197,0.13525,4.01164,0.45867,0.14002,0.90251,0.9937,1,0.995,0.98797,0.8972,0.9,0.87675,0.35401,0.23734,3.38119,0.44459,0.38865,0.54886,0.0080002,0.0080002,0.0080002
103,279.821,0.13396,3.91794,0.46091,0.13971,0.89436,0.99733,1,0.995,0.99424,0.81599,0.81667,0.75851,0.31145,0.26506,3.64867,0.44249,0.32256,0.56132,0.0079804,0.0079804,0.0079804
104,282.464,0.13213,3.82328,0.46103,0.14167,0.90186,0.99817,1,0.995,0.99287,0.91499,0.91667,0.92293,0.33316,0.26667,3.3778,0.44139,0.38879,0.56272,0.0079606,0.0079606,0.0079606
