epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,193.683,0.13841,4.90604,0.4791,0.15103,0.90198,0.9984,1,0.995,0.98946,0.63254,0.63333,0.58557,0.18894,0.24484,4.4676,0.46601,0.28009,0.56161,0.008317,0.008317,0.008317
87,195.895,0.13921,4.95819,0.47314,0.15002,0.91616,0.99832,1,0.995,0.98619,0.51584,0.51667,0.40062,0.09892,0.25339,4.87746,0.46192,0.25458,0.57207,0.0082972,0.0082972,0.0082972
88,198.07,0.13932,5.01944,0.47581,0.15198,0.90914,0.99909,1,0.995,0.98204,0.63276,0.63333,0.51087,0.13205,0.24954,4.66567,0.45983,0.27157,0.57319,0.0082774,0.0082774,0.0082774
89,200.233,0.14168,4.97157,0.47348,0.15305,0.90394,0.99909,1,0.995,0.97933,0.4331,0.43333,0.34368,0.07206,0.22894,5.28835,0.46008,0.27577,0.5565,0.0082576,0.0082576,0.0082576
90,202.452,0.14251,4.98805,0.47123,0.14632,0.91803,0.99834,1,0.995,0.98296,0.69896,0.7,0.62947,0.14977,0.24241,4.68534,0.45861,0.28672,0.55825,0.0082378,0.0082378,0.0082378
91,204.67,0.1375,4.91452,0.47275,0.14756,0.91125,0.99515,1,0.995,0.9829,0.67988,0.68333,0.59206,0.1641,0.22784,4.54381,0.45826,0.33507,0.55979,0.008218,0.008218,0.008218
92,206.846,0.1391,4.99481,0.47332,0.15019,0.90718,0.99868,1,0.995,0.97299,0.69906,0.7,0.56922,0.16999,0.25538,4.44484,0.46173,0.32432,0.61633,0.0081982,0.0081982,0.0081982
93,208.983,0.1368,4.87591,0.46727,0.14791,0.91303,0.99894,1,0.995,0.95155,0.61628,0.61667,0.51305,0.17084,0.30431,4.57084,0.46082,0.40459,0.67736,0.0081784,0.0081784,0.0081784
94,211.412,0.14491,4.82914,0.46843,0.14839,0.91026,0.99912,1,0.995,0.9826,0.68325,0.68333,0.56394,0.16565,0.25759,4.49907,0.4636,0.35575,0.62669,0.0081586,0.0081586,0.0081586
95,213.638,0.14041,4.99452,0.46933,0.14122,0.89957,0.99909,1,0.995,0.98808,0.7663,0.76667,0.71593,0.20565,0.25387,4.38393,0.46121,0.31951,0.5929,0.0081388,0.0081388,0.0081388
96,215.914,0.14073,4.82687,0.46861,0.14312,0.91956,0.99834,1,0.995,0.98912,0.59904,0.6,0.46276,0.12509,0.26119,4.70895,0.45457,0.34712,0.59105,0.008119,0.008119,0.008119
97,218.232,0.13437,4.98396,0.47297,0.1449,0.90353,0.99911,1,0.995,0.9925,0.59951,0.6,0.47839,0.13966,0.24478,4.73939,0.45321,0.27747,0.54893,0.0080992,0.0080992,0.0080992
98,220.532,0.1342,4.77293,0.47159,0.14361,0.90198,0.99902,1,0.995,0.99276,0.6327,0.63333,0.5109,0.12543,0.23871,4.58979,0.45437,0.30322,0.55366,0.0080794,0.0080794,0.0080794
99,222.674,0.13863,4.91625,0.47124,0.14795,0.91185,0.99904,1,0.995,0.98867,0.74958,0.75,0.69925,0.20264,0.22564,4.30078,0.4554,0.3147,0.56992,0.0080596,0.0080596,0.0080596
100,224.868,0.13471,4.7324,0.46427,0.14603,0.91645,0.99909,1,0.995,0.98983,0.54968,0.55,0.43549,0.12197,0.24566,4.93326,0.454,0.33103,0.57363,0.0080398,0.0080398,0.0080398
101,227.121,0.14017,4.8027,0.4617,0.14602,0.92221,0.99911,1,0.995,0.98937,0.68279,0.68333,0.54512,0.15631,0.23972,4.52422,0.45194,0.30223,0.57615,0.00802,0.00802,0.00802
102,229.417,0.13584,4.83229,0.45996,0.1442,0.90455,0.99898,1,0.995,0.98355,0.68281,0.68333,0.57165,0.15077,0.2493,4.49612,0.44868,0.29638,0.59222,0.0080002,0.0080002,0.0080002
103,231.595,0.14123,4.66913,0.46382,0.15433,0.90148,0.99903,1,0.995,0.98024,0.54956,0.55,0.40001,0.11898,0.25784,4.87956,0.4472,0.33977,0.5951,0.0079804,0.0079804,0.0079804
104,233.857,0.1331,4.79845,0.46632,0.14605,0.90489,0.99872,1,0.995,0.98889,0.66581,0.66667,0.51733,0.14358,0.24211,4.48557,0.45026,0.30328,0.56101,0.0079606,0.0079606,0.0079606
105,235.998,0.13799,4.77234,0.46156,0.1442,0.91989,0.99895,1,0.995,0.99298,0.64932,0.65,0.49732,0.14128,0.22418,4.62035,0.45219,0.29776,0.55575,0.0079408,0.0079408,0.0079408
106,238.169,0.13477,4.88174,0.46,0.14832,0.90648,0.99889,1,0.995,0.995,0.71595,0.71667,0.61943,0.17277,0.22924,4.57041,0.44946,0.29026,0.56116,0.007921,0.007921,0.007921
107,240.36,0.13337,4.7519,0.45793,0.14052,0.93156,0.99878,1,0.995,0.99051,0.76571,0.76667,0.6821,0.18976,0.24667,4.59952,0.44938,0.27962,0.56569,0.0079012,0.0079012,0.0079012
108,242.57,0.13329,4.76121,0.46001,0.14502,0.90977,0.99894,1,0.995,0.97405,0.68274,0.68333,0.59377,0.17882,0.29449,4.64051,0.452,0.29099,0.61651,0.0078814,0.0078814,0.0078814
109,244.73,0.13974,4.57949,0.46514,0.15172,0.90816,0.98754,1,0.995,0.95768,0.55685,0.56667,0.46021,0.12712,0.30849,5.17489,0.44362,0.31471,0.65678,0.0078616,0.0078616,0.0078616
110,246.912,0.14489,4.65135,0.46596,0.15195,0.923,0.98013,1,0.99451,0.97179,0.5221,0.53333,0.43744,0.13399,0.30453,4.72708,0.44679,0.32385,0.66888,0.0078418,0.0078418,0.0078418
111,249.056,0.13729,4.56167,0.46897,0.14109,0.90681,0.99907,1,0.995,0.98567,0.72257,0.71667,0.67548,0.18063,0.25474,4.53146,0.4455,0.30577,0.6248,0.007822,0.007822,0.007822
112,251.272,0.13426,4.57642,0.4636,0.14576,0.91351,0.99811,1,0.995,0.97284,0.66662,0.66667,0.57526,0.15288,0.24567,4.53608,0.45188,0.36451,0.60362,0.0078022,0.0078022,0.0078022
113,253.476,0.13857,4.54087,0.46543,0.14551,0.91618,0.99867,1,0.995,0.96009,0.72862,0.71667,0.70098,0.19489,0.2893,4.49269,0.45094,0.31033,0.64038,0.0077824,0.0077824,0.0077824
114,255.938,0.1355,4.51061,0.46802,0.14184,0.90306,0.99911,1,0.995,0.97368,0.61648,0.61667,0.56591,0.16948,0.23954,4.83737,0.45647,0.32829,0.59622,0.0077626,0.0077626,0.0077626
115,258.088,0.13364,4.54018,0.47151,0.14108,0.89458,0.99911,1,0.995,0.95478,0.73267,0.73333,0.67379,0.20326,0.29541,4.34765,0.45755,0.31775,0.67416,0.0077428,0.0077428,0.0077428
116,260.266,0.1323,4.53544,0.45917,0.14076,0.90624,0.99911,1,0.995,0.95938,0.74933,0.75,0.69181,0.18273,0.33643,4.4591,0.45296,0.34395,0.71456,0.007723,0.007723,0.007723
117,262.469,0.13959,4.54848,0.46774,0.15038,0.91087,0.99906,1,0.995,0.97462,0.63297,0.63333,0.5289,0.15963,0.29965,4.93271,0.45739,0.30364,0.67233,0.0077032,0.0077032,0.0077032
118,264.682,0.13773,4.4765,0.45984,0.15242,0.91314,0.9991,1,0.995,0.98609,0.4829,0.48333,0.36305,0.09921,0.31336,5.08803,0.45089,0.34639,0.66488,0.0076834,0.0076834,0.0076834
119,266.909,0.13385,4.52793,0.45957,0.14743,0.90642,0.99909,1,0.995,0.98394,0.49954,0.5,0.35895,0.0928,0.29802,5.02953,0.45155,0.34047,0.60973,0.0076636,0.0076636,0.0076636
